City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
49,Chiredzi,ZW,64.87,light rain,-21.05,31.6667,Clevers Hotel Chiredzi
51,Mamallapuram,IN,84.25,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
52,Karratha,AU,79.59,clear sky,-20.7377,116.8463,ibis Styles Karratha
53,Kota Belud,MY,85.84,scattered clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
54,Hobart,AU,57.25,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
55,Mahebourg,MU,69.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
57,Colares,PT,69.8,broken clouds,38.7992,-9.4469,Arribas Sintra Hotel
59,Cape Coast,GH,74.3,broken clouds,5.1053,-1.2466,Samrit Hotel
60,Cidreira,BR,57.6,broken clouds,-30.1811,-50.2056,Hotel Castelo
61,Komagane,JP,86.34,overcast clouds,35.7296,137.9396,Komaganeyusuhosuteru
63,Kapaa,US,84.52,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
68,Ponta Do Sol,PT,71.71,scattered clouds,32.6667,-17.1,Hotel do Campo
69,Mundwa,IN,82.83,clear sky,27.0667,73.8167,Mahadev Guest House
73,Georgetown,MY,84.88,few clouds,5.4112,100.3354,Cititel Penang
74,Gat,IL,75.88,broken clouds,31.61,34.7642,OlusHome
76,Gazanjyk,TM,69.15,clear sky,39.2446,55.5154,Railway motel
77,Lorengau,PG,85.57,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
78,Cockburn Town,TC,84.43,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
82,Puerto Ayora,EC,65.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
83,Tongliao,CN,70.59,overcast clouds,43.6125,122.2653,Meirujia Hotel
84,Puerto Leguizamo,CO,75.61,overcast clouds,-0.1934,-74.7819,la casona de juancho
87,Natal,BR,77.22,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
